Id,Note Id,Related to Id,Related to Type
15344625,70016069396,70061472844,Contact
15344755,70016069527,70061472847,Contact
15346258,70016071030,70062485113,Contact
15346337,70016071109,70062626335,Contact
15350451,70016075224,70069227571,Contact
15350566,70016075339,70065632867,Contact
15355884,70016080658,70065632861,Contact
15356102,70016080876,70065632862,Contact
15356820,70016081594,70065632846,Contact
15357790,70016082564,70065632856,Contact
15357894,70016082668,70065632855,Contact
15358007,70016082781,70065632853,Contact
15358043,70016082817,70065632845,Contact
15358219,70016082993,70064994441,Contact
15358520,70016083294,70064994400,Contact
15358851,70016083625,70069227572,Contact
15358917,70016083691,70069050590,Contact
15359034,70016083808,70068463701,Contact
15359119,70016083893,70065906144,Contact
15359436,70016084210,70064994390,Contact
15360489,70016085263,70064410071,Contact
15419807,70016144583,70069050588,Contact
15420119,70016144896,70066956095,Contact
15420369,70016145146,70068463703,Contact
15535321,70016260428,70069980745,Contact
15537405,70016262512,70069980758,Contact
15543049,70016268160,70069980741,Contact
15550074,70016275186,70069980741,Contact
15550349,70016275461,70069980761,Contact
15550922,70016276034,70069980738,Contact
15551235,70016276347,70069980734,Contact
15551508,70016276620,70069980732,Contact
15552630,70016277743,70069980738,Contact
15553064,70016278177,70069980714,Contact
15553538,70016278651,70069980749,Contact
15553964,70016279077,70069980765,Contact
15554004,70016279117,70069980728,Contact
15592632,70016317797,70068463696,Contact
15599556,70016324727,70069050588,Contact
15599623,70016324794,70069980736,Contact
15627698,70016352859,70069227563,Contact
15628910,70016354071,70069980752,Contact
15639061,70016364239,70069050568,Contact
15639165,70016364343,70069980753,Contact
15640995,70016366169,70069050562,Contact
15641510,70016366684,70068463694,Contact
15641607,70016366781,70066956088,Contact
15641720,70016366894,70066541205,Contact
15641818,70016366992,70069980764,Contact
15647753,70016372929,70068463704,Contact
15682662,70016407876,70066541211,Contact
15682708,70016407922,70066273232,Contact
15682759,70016407973,70065906132,Contact
15682845,70016408059,70065906134,Contact
15682899,70016408113,70067259394,Contact
15682985,70016408199,70060231066,Contact
15683064,70016408278,70066273214,Contact
15683194,70016408408,70062520641,Contact
15683307,70016408521,70062382639,Contact
15683371,70016408585,70065906160,Contact
15683433,70016408647,70066273216,Contact
15683502,70016408716,70066273247,Contact
15684010,70016409224,70069980754,Contact
15684106,70016409320,70066956086,Contact
15684189,70016409403,70066273210,Contact
15684542,70016409756,70060231074,Contact
15688540,70016413754,70069980741,Contact
15688803,70016414017,70067963691,Contact
15688870,70016414084,70067963691,Contact
15688991,70016414205,70067963691,Contact
15689141,70016414355,70069980719,Contact
15689230,70016414444,70069050561,Contact
15689315,70016414529,70066541205,Contact
15708407,70016433625,70069980746,Contact
15760386,70016485611,70069980757,Contact
15760480,70016485705,70069980744,Contact
15775710,70016500941,70069980761,Contact
15776143,70016501374,70069980730,Contact
15776497,70016501728,70065632861,Contact
15779039,70016504274,70069980730,Contact
15784210,70016509467,70069980719,Contact
15815463,70016540853,70066273280,Contact
15816074,70016541464,70069050569,Contact
15816581,70016541971,70069980735,Contact
15817177,70016542567,70067125326,Contact
15877829,70016603291,70069050562,Contact
15878769,70016604231,70068463696,Contact
15878961,70016604423,70069050588,Contact
15886189,70016611660,70070934858,Contact
15893045,70016618544,70070934838,Contact
15920537,70016646131,70070934858,Contact
15922067,70016647661,70070934863,Contact
15926194,70016651803,70070934822,Contact
15927380,70016652993,70060533271,Contact
15927712,70016653325,70062626345,Contact
15927785,70016653398,70070934815,Contact
15928092,70016653706,70064994426,Contact
15928204,70016653819,70070934815,Contact
15928347,70016653962,70066273245,Contact
15928530,70016654146,70069050579,Contact
15928657,70016654275,70060251515,Contact
15929081,70016654700,70070934814,Contact
15929950,70016655570,70070934811,Contact
15930750,70016656373,70069050563,Contact
15934373,70016660008,70070934863,Contact
15934546,70016660181,70070934844,Contact
15987038,70016712891,70066541199,Contact
15987543,70016713396,70069980763,Contact
15987882,70016713735,70066956089,Contact
15988163,70016714016,70060231078,Contact
15988443,70016714296,70067452706,Contact
15988864,70016714718,70068463701,Contact
15988990,70016714844,70069050590,Contact
15989330,70016715184,70070934837,Contact
15989526,70016715380,70066273220,Contact
15989596,70016715450,70066541198,Contact
15989731,70016715585,70066541207,Contact
15989737,70016715591,70061472962,Contact
15989987,70016715841,70066956091,Contact
15990160,70016716014,70069980725,Contact
15990324,70016716178,70069980720,Contact
15990387,70016716241,70069980729,Contact
15990635,70016716489,70064994411,Contact
15990656,70016716510,70069980731,Contact
15990724,70016716578,70064994404,Contact
15990788,70016716642,70064411187,Contact
15990878,70016716732,70069980742,Contact
15990914,70016716768,70064994445,Contact
15992036,70016717890,70069980759,Contact
15992867,70016718721,70070934824,Contact
15993271,70016719125,70070934825,Contact
